frame_idx,ground_truth,action_score_propagated,is_retained_tier
955,0,0.33616626262664795,0
956,0,0.33616626262664795,0
957,0,0.19133028388023376,1
958,0,0.19133028388023376,0
959,0,0.19133028388023376,0
960,0,0.19133028388023376,0
961,0,0.19133028388023376,0
962,0,0.19133028388023376,0
963,0,0.19133028388023376,0
964,0,0.19133028388023376,0
965,0,0.19133028388023376,0
966,0,0.19133028388023376,0
967,0,0.19133028388023376,0
968,0,0.19133028388023376,0
969,0,0.45605266094207764,1
970,0,0.45605266094207764,0
971,0,0.45605266094207764,0
972,0,0.45605266094207764,0
973,0,0.45605266094207764,0
974,0,0.45605266094207764,0
975,0,0.1780136227607727,1
976,0,0.1780136227607727,0
977,0,0.1780136227607727,0
978,0,0.1780136227607727,0
979,0,0.1780136227607727,0
980,0,0.1780136227607727,0
981,0,0.1780136227607727,0
982,0,0.1780136227607727,0
983,0,0.1780136227607727,0
984,0,0.1780136227607727,0
985,0,0.1780136227607727,0
986,0,0.1780136227607727,0
987,0,0.1780136227607727,0
988,0,0.1780136227607727,0
989,0,0.1780136227607727,0
990,0,0.1780136227607727,0
991,0,0.1780136227607727,0
992,0,0.1780136227607727,0
993,0,0.1780136227607727,0
994,0,0.1780136227607727,0
995,0,0.1780136227607727,0
996,0,0.1780136227607727,0
997,0,0.1780136227607727,0
998,0,0.1780136227607727,0
999,0,0.43265748023986816,1
1000,0,0.8788171410560608,1
1001,0,0.8788171410560608,0
1002,0,0.8788171410560608,0
1003,0,0.8788171410560608,0
1004,0,0.8788171410560608,0
1005,0,0.8788171410560608,0
1006,0,0.8788171410560608,0
1007,0,0.8788171410560608,0
1008,0,0.8788171410560608,0
1009,0,0.8788171410560608,0
1010,0,0.8788171410560608,0
1011,0,0.8788171410560608,0
1012,0,0.8788171410560608,0
1013,0,0.13551871478557587,1
1014,0,0.13551871478557587,0
1015,0,0.13551871478557587,0
1016,0,0.13551871478557587,0
1017,0,0.18934646248817444,1
1018,0,0.18934646248817444,0
1019,0,0.18934646248817444,0
1020,0,0.18934646248817444,0
1021,0,0.18934646248817444,0
1022,0,0.18934646248817444,0
1023,0,0.18281883001327515,1
1024,0,0.18281883001327515,0
1025,0,0.18281883001327515,0
1026,0,0.18281883001327515,0
1027,0,0.18281883001327515,0
1028,0,0.18281883001327515,0
1029,0,0.4306594431400299,1
1030,0,0.14799922704696655,1
1031,0,0.14799922704696655,0
1032,0,0.14799922704696655,0
1033,0,0.14799922704696655,0
1034,0,0.14799922704696655,0
1035,0,0.14799922704696655,0
1036,0,0.14799922704696655,0
1037,0,0.14799922704696655,0
1038,0,0.14799922704696655,0
1039,0,0.14799922704696655,0
1040,0,0.14799922704696655,0
1041,0,0.14799922704696655,0
1042,0,0.14799922704696655,0
1043,0,0.14799922704696655,0
1044,0,0.14799922704696655,0
1045,0,0.14799922704696655,0
1046,0,0.14799922704696655,0
1047,0,0.24187347292900085,1
1048,0,0.16031216084957123,1
1049,0,0.16031216084957123,0
1050,0,0.16031216084957123,0
1051,0,0.16031216084957123,0
1052,0,0.16031216084957123,0
1053,0,0.16031216084957123,0
1054,0,0.16031216084957123,0
1055,0,0.16031216084957123,0
1056,0,0.16031216084957123,0
1057,0,0.16031216084957123,0
1058,0,0.16031216084957123,0
1059,0,0.5097271800041199,1
1060,0,0.1548386812210083,1
1061,0,0.1548386812210083,0
1062,0,0.1548386812210083,0
1063,0,0.1548386812210083,0
1064,0,0.1548386812210083,0
1065,0,0.20519903302192688,1
1066,0,0.20519903302192688,0
1067,0,0.135445699095726,1
1068,0,0.135445699095726,0
1069,0,0.135445699095726,0
1070,0,0.135445699095726,0
1071,0,0.15267139673233032,1
1072,0,0.15267139673233032,0
1073,0,0.1266581118106842,1
1074,0,0.1266581118106842,0
1075,0,0.1266581118106842,0
1076,0,0.1266581118106842,0
1077,0,0.1266581118106842,0
1078,0,0.1266581118106842,0
1079,0,0.17165806889533997,1
1080,0,0.17165806889533997,0
1081,0,0.17165806889533997,0
1082,0,0.17165806889533997,0
1083,0,0.17165806889533997,0
1084,0,0.17165806889533997,0
1085,0,0.17165806889533997,0
1086,0,0.17165806889533997,0
1087,0,0.17165806889533997,0
1088,0,0.17165806889533997,0
1089,0,0.3642866015434265,1
1090,0,0.3642866015434265,0
1091,0,0.3642866015434265,0
1092,0,0.3642866015434265,0
1093,0,0.3642866015434265,0
1094,0,0.3642866015434265,0
1095,0,0.3642866015434265,0
1096,0,0.3642866015434265,0
1097,0,0.3642866015434265,0
1098,0,0.3642866015434265,0
1099,0,0.3642866015434265,0
1100,0,0.3642866015434265,0
1101,0,0.3642866015434265,0
1102,0,0.3642866015434265,0
1103,0,0.3642866015434265,0
1104,0,0.3642866015434265,0
1105,0,0.3642866015434265,0
1106,0,0.3642866015434265,0
1107,0,0.3642866015434265,0
1108,0,0.3642866015434265,0
1109,0,0.3642866015434265,0
1110,0,0.3642866015434265,0
1111,0,0.3642866015434265,0
1112,0,0.3642866015434265,0
1113,0,0.3642866015434265,0
1114,0,0.3642866015434265,0
1115,0,0.3642866015434265,0
1116,0,0.3642866015434265,0
1117,0,0.3642866015434265,0
1118,0,0.3642866015434265,0
1119,0,0.2640770673751831,1
1120,0,0.2640770673751831,0
1121,0,0.2640770673751831,0
1122,0,0.2640770673751831,0
1123,0,0.2640770673751831,0
1124,0,0.2640770673751831,0
1125,0,0.2640770673751831,0
1126,0,0.2640770673751831,0
1127,0,0.2640770673751831,0
1128,0,0.2640770673751831,0
1129,0,0.2640770673751831,0
1130,0,0.2640770673751831,0
1131,0,0.2640770673751831,0
1132,0,0.2640770673751831,0
1133,0,0.2640770673751831,0
1134,0,0.2640770673751831,0
1135,0,0.2640770673751831,0
1136,0,0.2640770673751831,0
1137,0,0.2640770673751831,0
1138,0,0.2640770673751831,0
1139,0,0.2640770673751831,0
1140,0,0.2640770673751831,0
1141,0,0.2640770673751831,0
1142,0,0.2640770673751831,0
1143,0,0.2640770673751831,0
1144,0,0.2640770673751831,0
1145,0,0.2640770673751831,0
1146,0,0.2640770673751831,0
1147,0,0.2640770673751831,0
1148,0,0.2640770673751831,0
1149,0,0.22274208068847656,1
1150,0,0.17486163973808289,1
1151,0,0.17486163973808289,0
1152,0,0.17486163973808289,0
1153,0,0.17486163973808289,0
1154,0,0.17486163973808289,0
1155,0,0.17486163973808289,0
1156,0,0.17486163973808289,0
1157,0,0.17486163973808289,0
1158,0,0.17486163973808289,0
1159,0,0.17486163973808289,0
1160,0,0.17486163973808289,0
1161,0,0.17486163973808289,0
1162,0,0.17486163973808289,0
1163,0,0.17486163973808289,0
1164,0,0.17486163973808289,0
1165,0,0.17486163973808289,0
1166,0,0.17486163973808289,0
1167,0,0.17486163973808289,0
1168,0,0.17486163973808289,0
1169,0,0.17486163973808289,0
1170,0,0.17486163973808289,0
1171,0,0.17486163973808289,0
1172,0,0.17486163973808289,0
1173,0,0.17486163973808289,0
1174,0,0.17486163973808289,0
1175,0,0.17486163973808289,0
1176,0,0.17486163973808289,0
1177,0,0.17486163973808289,0
1178,0,0.17486163973808289,0
1179,0,0.23538799583911896,1
1180,0,0.23538799583911896,0
1181,0,0.23538799583911896,0
1182,0,0.23538799583911896,0
1183,0,0.23538799583911896,0
1184,0,0.23538799583911896,0
1185,0,0.23538799583911896,0
1186,0,0.23538799583911896,0
1187,0,0.23538799583911896,0
1188,0,0.23538799583911896,0
1189,0,0.23538799583911896,0
1190,0,0.23538799583911896,0
1191,0,0.23538799583911896,0
1192,0,0.23538799583911896,0
1193,0,0.23538799583911896,0
1194,0,0.23538799583911896,0
1195,0,0.23538799583911896,0
1196,0,0.23538799583911896,0
1197,0,0.23538799583911896,0
1198,0,0.23538799583911896,0
1199,0,0.23538799583911896,0
1200,0,0.23538799583911896,0
1201,0,0.23538799583911896,0
1202,0,0.23538799583911896,0
1203,0,0.23538799583911896,0
1204,0,0.23538799583911896,0
1205,0,0.23538799583911896,0
1206,0,0.23538799583911896,0
1207,0,0.23538799583911896,0
1208,0,0.23538799583911896,0
1209,0,0.2616134583950043,1
1210,0,0.16981232166290283,1
1211,0,0.16981232166290283,0
1212,0,0.16981232166290283,0
1213,0,0.16981232166290283,0
1214,0,0.16981232166290283,0
1215,0,0.16981232166290283,0
1216,0,0.19015006721019745,1
1217,0,0.19015006721019745,0
1218,0,0.19015006721019745,0
1219,0,0.19015006721019745,0
1220,0,0.19015006721019745,0
1221,0,0.19015006721019745,0
1222,0,0.1596493422985077,1
1223,0,0.1596493422985077,0
1224,0,0.1596493422985077,0
1225,0,0.1596493422985077,0
1226,0,0.1596493422985077,0
1227,0,0.1596493422985077,0
1228,0,0.1596493422985077,0
1229,0,0.1596493422985077,0
1230,0,0.1596493422985077,0
1231,0,0.1596493422985077,0
1232,0,0.1596493422985077,0
1233,0,0.1596493422985077,0
1234,0,0.13475671410560608,1
1235,0,0.13475671410560608,0
1236,0,0.13475671410560608,0
1237,0,0.13475671410560608,0
1238,0,0.13475671410560608,0
1239,0,0.3776032328605652,1
1240,0,0.3776032328605652,0
1241,0,0.3776032328605652,0
1242,0,0.3776032328605652,0
1243,0,0.3776032328605652,0
1244,0,0.3776032328605652,0
1245,0,0.3776032328605652,0
1246,0,0.3776032328605652,0
1247,0,0.3776032328605652,0
1248,0,0.3776032328605652,0
1249,0,0.3776032328605652,0
1250,0,0.8795299530029297,1
1251,0,0.8795299530029297,0
1252,0,0.8795299530029297,0
1253,0,0.8795299530029297,0
1254,0,0.8795299530029297,0
1255,0,0.8795299530029297,0
1256,0,0.8795299530029297,0
1257,0,0.8795299530029297,0
1258,0,0.8795299530029297,0
1259,0,0.8795299530029297,0
1260,0,0.8795299530029297,0
1261,0,0.8795299530029297,0
1262,0,0.8795299530029297,0
1263,0,0.8795299530029297,0
1264,0,0.8795299530029297,0
1265,0,0.8795299530029297,0
1266,0,0.8795299530029297,0
1267,0,0.8795299530029297,0
1268,0,0.8795299530029297,0
1269,0,0.2829008102416992,1
1270,0,0.14298366010189056,1
1271,0,0.14298366010189056,0
1272,0,0.14298366010189056,0
1273,0,0.14298366010189056,0
1274,0,0.14298366010189056,0
1275,0,0.14298366010189056,0
1276,0,0.14298366010189056,0
1277,0,0.14298366010189056,0
1278,0,0.14298366010189056,0
1279,0,0.14298366010189056,0
1280,0,0.14298366010189056,0
1281,0,0.14298366010189056,0
1282,0,0.14298366010189056,0
1283,0,0.14298366010189056,0
1284,0,0.14298366010189056,0
1285,0,0.14298366010189056,0
1286,0,0.14298366010189056,0
1287,0,0.14298366010189056,0
1288,0,0.14298366010189056,0
1289,0,0.14298366010189056,0
1290,0,0.14298366010189056,0
1291,0,0.14298366010189056,0
1292,0,0.14298366010189056,0
1293,0,0.14298366010189056,0
1294,0,0.14298366010189056,0
1295,0,0.14298366010189056,0
1296,0,0.14298366010189056,0
1297,0,0.14298366010189056,0
1298,0,0.14298366010189056,0
1299,0,0.26988551020622253,1
1300,0,0.14696471393108368,1
1301,0,0.14696471393108368,0
1302,0,0.14696471393108368,0
1303,0,0.14696471393108368,0
1304,0,0.14696471393108368,0
1305,0,0.14696471393108368,0
1306,0,0.15261265635490417,1
1307,0,0.15261265635490417,0
1308,0,0.15261265635490417,0
1309,0,0.15261265635490417,0
1310,0,0.15261265635490417,0
1311,0,0.15261265635490417,0
1312,0,0.18086786568164825,1
1313,0,0.18086786568164825,0
1314,0,0.18086786568164825,0
1315,0,0.18086786568164825,0
1316,0,0.18086786568164825,0
1317,0,0.18086786568164825,0
1318,0,0.18086786568164825,0
1319,0,0.18086786568164825,0
1320,0,0.18086786568164825,0
1321,0,0.18086786568164825,0
1322,0,0.18086786568164825,0
1323,0,0.18086786568164825,0
1324,0,0.18086786568164825,0
1325,0,0.18086786568164825,0
1326,0,0.18086786568164825,0
1327,0,0.18086786568164825,0
1328,0,0.18086786568164825,0
1329,0,0.41034090518951416,1
1330,0,0.17863720655441284,1
1331,0,0.17863720655441284,0
1332,0,0.17863720655441284,0
1333,0,0.17863720655441284,0
1334,0,0.17863720655441284,0
1335,0,0.17863720655441284,0
1336,0,0.17876236140727997,1
1337,0,0.17876236140727997,0
1338,0,0.17876236140727997,0
1339,0,0.17876236140727997,0
1340,0,0.17876236140727997,0
1341,0,0.17876236140727997,0
1342,0,0.17876236140727997,0
1343,0,0.17876236140727997,0
1344,0,0.17876236140727997,0
1345,0,0.17876236140727997,0
1346,0,0.17876236140727997,0
1347,0,0.17876236140727997,0
1348,0,0.17876236140727997,0
1349,0,0.20115822553634644,1
1350,0,0.20115822553634644,0
1351,0,0.20115822553634644,0
1352,0,0.20115822553634644,0
1353,0,0.20115822553634644,0
1354,0,0.20115822553634644,0
1355,0,0.19377824664115906,1
1356,0,0.19377824664115906,0
1357,0,0.19377824664115906,0
1358,0,0.19377824664115906,0
1359,0,0.39792826771736145,1
1360,0,0.39792826771736145,0
1361,0,0.18890008330345154,1
1362,0,0.18890008330345154,0
1363,0,0.18890008330345154,0
1364,0,0.18890008330345154,0
1365,0,0.18890008330345154,0
1366,0,0.18890008330345154,0
1367,0,0.18186619877815247,1
1368,0,0.18186619877815247,0
1369,0,0.18186619877815247,0
1370,0,0.18186619877815247,0
1371,0,0.18186619877815247,0
1372,0,0.18186619877815247,0
1373,0,0.18186619877815247,0
1374,0,0.18186619877815247,0
1375,0,0.18186619877815247,0
1376,0,0.18186619877815247,0
1377,0,0.18186619877815247,0
1378,0,0.18186619877815247,0
1379,0,0.18186619877815247,0
1380,0,0.18186619877815247,0
1381,0,0.18186619877815247,0
1382,0,0.18186619877815247,0
1383,0,0.18186619877815247,0
